id,name,relationship,relative,relativename
Q108418519,Mamadi Doumbouya,child,Q115941731,Lansana Doumbouya
Q108418519,Mamadi Doumbouya,father,Q115941634,Karifala Doumbouya
Q108418519,Mamadi Doumbouya,mother,Q115941645,Hadja Mandioula Sylla
Q108418519,Mamadi Doumbouya,spouse,Q108762973,Lauriane Darboux
Q108762973,Lauriane Darboux,child,Q115941731,Lansana Doumbouya
Q108762973,Lauriane Darboux,spouse,Q108418519,Mamadi Doumbouya
Q109375616,Mamoudou Nagnalen Barry,sibling,Q95981966,Siaka Barry
Q111533988,Abdoul Karim Dioubaté,father,Q111534056,Elhadj Yagouba Dioubaté
Q111533988,Abdoul Karim Dioubaté,mother,Q111534131,Salématou Touré
Q1451112,François Lonseny Fall,spouse,Q85853382,Hadja Asmaou Baldé Conté
Q202582,Lansana Conté,spouse,Q81261160,Henriette Conté
Q202582,Lansana Conté,spouse,Q85853382,Hadja Asmaou Baldé Conté
Q202582,Lansana Conté,spouse,Q85853383,Kadiatou Seth Conté
Q323086,Aboubacar Somparé,child,Q96596022,Amara Somparé
Q4413,Alpha Condé,spouse,Q5285288,Djené Kaba Condé
Q5285288,Djené Kaba Condé,spouse,Q4413,Alpha Condé
Q64063016,Aminata Touré,father,Q155402,Ahmed Sékou Touré
Q64063016,Aminata Touré,mother,Q110544131,Margueitte Colle
Q64063016,Aminata Touré,sibling,Q110546282,Mohamed Touré
Q64063016,Aminata Touré,spouse,Q3302509,Maxime Camara
Q66708545,Mohamed Béavogui,child,Q70612668,Aissata Béavogui
Q718230,Sékouba Konaté,spouse,Q85854081,Mariama Sako Hall Konaté
Q739715,Cellou Dalein Diallo,spouse,Q108698515,Halimatou Dalein Diallo
Q739715,Cellou Dalein Diallo,spouse,Q108698951,Kadiatou Dalein Bah
