id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q107052214,,Q1006,,,,,,,,
Q107052262,,Q1006,,,,,,,,
Q107052282,,Q1006,,,,,,,,
Q107343242,,Q1006,Q237,,,,,,,
Q108881133,Chief of Staff of the Guinean Armed Forces,Q1006,,,,,,,,
Q85853945,First Lady of Guinea,Q1006,Q1006,,,1958-10-02,,,,First Lady of Guinea
Q110549872,Governor of Conakry,Q1006,Q1373230,,,,,,,
Q96584311,High Representative of the Head of State of Guinea,Q1006,,,,,,,,
Q21295985,Member of the National Assembly of Guinea,Q1006,Q1006,,,,,,,
Q109186195,Minister Secretary-General of the Government of Guinea,Q1006,Q1006,,,,,,,
Q111738894,"Minister for the Advancement of Women, Children and Vulnerable Persons",,Q1006,,,,,,,
Q98824146,Minister of African Cooperation and Integration,Q1006,,,,,,,,
Q114662321,Minister of Agriculture,Q1006,Q1006,,,,2021-01-15,,Q114662305,
Q114662305,Minister of Agriculture and Livestock,Q1006,Q1006,,,2021-01,,Q114662321,,
Q98822566,Minister of Budget of Guinea,Q1006,,,,,,,,
Q114662338,Minister of Commerce,Q1006,Q1006,,,,2021-09-05,,Q114662469,
Q109413937,"Minister of Culture, Tourism, and Handcrafts of Guinea",Q1006,,,,,,,,
Q85854148,Minister of Defence of Guinea,Q1006,Q1006,,,,,,,
Q98822634,Minister of Economy and Finance of Guinea,Q1006,,,,,,,,
Q54366063,Minister of Finance of Guinea,Q1006,Q1006,,,,,,,
Q90169155,"Minister of Fisheries, Aquaculture and the Maritime Economy of Guinea",Q1006,Q1006,,,,,,,
Q109255195,Minister of Foreign Affairs of Guinea,Q1006,Q1006,,,,,,,
Q112061360,Minister of Health of Guinea,Q1006,,,,,,,,
Q98822651,"Minister of Higher Education, Scientific Research and Innovation of Guinea",Q1006,Q1006,,,,,,,
Q98825245,Minister of Hydrocarbons of Guinea,Q1006,,,,,,,,
Q114662469,Minister of Industry and SMEs of Guinea,,Q1006,,,,,Q114662338,,
Q106938244,Minister of Information and Communication of Guinea,Q1006,,,,,,,,
Q109274596,Minister of Infrastructure and Transport of Guinea,Q1006,Q1006,,,,,,,
Q98822861,Minister of Investments and Public-Private Partnerships,Q1006,,,,,,,,
Q17110168,Minister of Justice of Guinea,Q1006,Q1006,,,,,,,Ministers of Justice of Guinea
Q114662675,Minister of Labour and Public Service,,Q1006,,,,,,,
Q98960158,Minister of Livestock and Animal Production,Q1006,Q1006,,,,2021-01,,Q114662305,
Q98822704,Minister of Mines and Geology of Guinea,Q1006,,,,,,,,
Q98822766,Minister of Posts and Telecoms of Guinea,Q1006,,,,,,,,
Q114643191,Minister of Pre-University Education and Literacy of Guinea,,Q1006,,,,,,,
Q98822778,"Minister of Public Service, State Reform and Modernization of Guinea",Q1006,,,,,,,,
Q114643644,Minister of Security and Civil Protection of Guinea,,Q1006,,,,,,,
Q54367251,Minister of Social Affairs of Guinea,Q1006,Q1006,,,,,,,
Q72407126,Minister of State of Guinea,Q1006,Q1006,,,,,,,
Q114643143,Minister of Technical Education and Vocational Training of Guinea,,Q1006,,,,,,,
Q98822626,Minister of Territorial Administration and Decentralization of Guinea,Q1006,,,,,,,,
Q98822719,Minister of Town and Regional Planning of Guinea,Q1006,,,,,,,,
Q109120626,Minister of Transport of Guinea,,Q1006,,,,,,,
Q98822750,Minister of Youth of Guinea,Q1006,,,,,,,,
Q98822620,Minister of the Environment of Guinea,Q1006,,,,,,,,
Q28015517,President of Guinea,Q1006,Q1006,,Q815572,1958,,,,President of Guinea
Q114643057,President of the National Assembly of Guinea,,,,,,,,,
Q14917303,Prime Minister of Guinea,Q1006,Q1006,,Q2477148,1972,,,,
Q107225945,Secretary General of Religious Affairs of Guinea,Q1006,Q1006,,,,,,,
Q107052274,ambassador of Guinea to Belgium,Q1006,,,,,,,,
Q109173821,ambassador of Guinea to Cuba,Q241,Q241,,,,,,,
Q107052278,ambassador of Guinea to Israel,Q1006,,,,,,,,
Q107022373,ambassador of Guinea to Russia,Q1006,,,,,,,,
Q114643016,ambassador of Guinea to South Africa,,,,,,,,,
Q110548018,mayor of Kaloum,Q1006,Q3192252,,,,,,,
