item,itemLabel,position,positionLabel,startDate,endDate
Q109296984,Bernard Goumou,,Premier ministre,,
Q109044655,Aboubacar Sidiki Camara,,"Ministre délégué à la présidence de la République, chargé de la Défense Nationale",,
Q112977549,Alphonse Charles Wright,,"Garde des Sceaux, Ministre de la Justice et des Droits de l'Homme",,
Q109413676,Alpha Soumah,,"Ministre de la Culture, du Tourisme et de l'Artisanat",,
Q109274627,Yaya Sow,,Ministre des Infrastructures et des Transports,,
Q109252097,Mamadou Pathé Diallo,,Ministre de la Santé et de l'Hygiène Publique,,
Q109044739,Louopou Lamah,,Ministre de l'Environnement et du Développement Durable,,
Q109296985,Mory Condé,,Ministre de l'Administration du Territoire et de la Décentralisation,,
Q109275607,Diaka Sidibé,,"Ministre de l'Enseignement Supérieur, de la Recherche scientifique et de l'Innovation",,
Q109512687,Moussa Magassouba,,Ministre des Mines et de la Géologie,,
Q113674890,Ibrahima Sory Bangoura,,"Ministre de urbanisme, de l'habitat et de l'Aménagement du territoire",,
Q2456485,Lansana Béa Diallo,,Ministre de la Jeunesse et des Sports,,
Q3358505,Ousmane Gaoual Diallo,,"Ministre des Postes, des Télécoms et de l’Économie Numérique",,
Q109378507,Moussa Cissé,,"Ministre de l’Économie, des Finances et du Plan",,
Q109378535,Lanciné Condé,,Ministre du Budget,,
Q109252099,Julien Yombouno,,Ministre du Travail et de la Fonction Publique,,
Q109044662,Général Bachir Diallo,,Ministre de la Sécurité et de la Protection Civile,,
Q109275627,Rose Pola Pricemou,,"Ministre du Commerce, de l'Industrie et des Petites et Moyennes Entreprises",,
Q109275632,Aicha Nanette Conté,,"Ministre de la Promotion Féminine, de l'Enfance et des Personnes Vulnérables",,
Q109296978,Guillaume Hawing,,Ministre de l'Enseignement Pré-Universitaire et de l'Alphabétisation,,
Q109296974,Alpha Bacar Barry,,Ministre de l'Enseignement Technique et de la Formation Professionnelle,,
Q109252098,Mory Sandan Kouyaté,,"Ministre des Affaires Étrangères, de la Coopération Internationale, de l'Intégration Africaine et des Guinéens de l'Étranger",,
Q109375616,Mamoudou Nagnalen Barry,,Ministre de l'Agriculture et de l'Élevage,,
Q109252096,Charlotte Daffé,,Ministre de la Pêche et de l'Économie Maritime,,
Q109412260,Aminata Kaba,,Ministre de l'Information et de la Communication,,
Q113654106,Aly Seydouba Soumah,,"Ministre de l'Énergie, de l'Hydraulique et des Hydrocarbures",,
Q109044723,Abdourahmane Sikhé Camara,,Ministre Secrétaire Général du Gouvernement,,
Q111209644,Karamoko Diawara,,Ministre Secrétaire Général des Affaires Religieuses,,
