item,itemLabel,startDate,endDate
,Zainoul Abidine Sanoussi,1999,2000
Q42814067,Mahawa Bangoura,2000,2002
Q1451112,François Lonseny Fall,2002,2004
Q3284885,Mamady Condé,2004,2005
,Fatoumata Kaba,2005,2006
Q3284885,Mamady Condé,2006,2007
Q6344570,Kabèlè Abdoul Camara,2007,2008
,Amadou Lamarana Bah,2008,2009
Q2643744,Alexandre Cécé Loua,2009,2010
Q4849023,Bakary Fofana,2010,2010
Q93429790,Édouard Niankoye Lamah,2010,2012
Q1451112,François Lonseny Fall,2012,2016
Q29292695,Makalé Camara,2016,2017
Q55098131,Mamadi Touré,2017,2021
Q102264364,Ibrahima Khalil Kaba,2021,2021
Q109252098,Morissanda Kouyaté,2021,
